YEAR_R,FULL_NAME,PROV_CODE,PROVINCE_N,PRODUCT,HARVEST_AREA
2012,กุ้งกุลาดำ,23,ตราด   ,218,1009
2012,กุ้งกุลาดำ,21,ระยอง,38,1000
2012,กุ้งกุลาดำ,77,ประจวบคีรีขันธ์,74,925
2012,กุ้งกุลาดำ,86,ชุมพร,1978,1304
2012,กุ้งกุลาดำ,85,ระนอง,831,1194
2012,กุ้งกุลาดำ,84,สุราษฎร์ธานี,1483,772
2012,กุ้งกุลาดำ,82,พังงา,1451,1210
2012,กุ้งกุลาดำ,83,ภูเก็ต,212,1413
2012,กุ้งกุลาดำ,81,กระบี่,4879,902
2012,กุ้งกุลาดำ,92,ตรัง,1705,1327
2012,กุ้งกุลาดำ,80,นครศรีธรรมราช,956,1364
2012,กุ้งกุลาดำ,90,สงขลา,848,958
2012,กุ้งกุลาดำ,91,สตูล,469,1285
2012,กุ้งกุลาดำ,94,ปัตตานี,465,1202
2013,กุ้งขาวแวนนาไม,25,ปราจีนบุรี,3803,825
2013,กุ้งขาวแวนนาไม,24,ฉะเชิงเทรา,14554,909
2013,กุ้งขาวแวนนาไม,22,จันทบุรี,33451,1578
2013,กุ้งขาวแวนนาไม,23,ตราด,20878,2168
2013,กุ้งขาวแวนนาไม,21,ระยอง,10798,1498
2013,กุ้งขาวแวนนาไม,20,ชลบุรี,1231,588
2013,กุ้งขาวแวนนาไม,11,สมุทรปราการ,3594,613
2013,กุ้งขาวแวนนาไม,74,สมุทรสาคร,9945,1026
2013,กุ้งขาวแวนนาไม,75,สมุทรสงคราม,1148,1153
2013,กุ้งขาวแวนนาไม,76,เพชรบุรี,6825,1259
2013,กุ้งขาวแวนนาไม,77,ประจวบคีรีขันธ์,15952,2017
2013,กุ้งขาวแวนนาไม,86,ชุมพร,17875,2109
2013,กุ้งขาวแวนนาไม,85,ระนอง ,11237,3019
2013,กุ้งขาวแวนนาไม,84,สุราษฎร์ธานี,29159,1831
2013,กุ้งขาวแวนนาไม,82,พังงา,14382,2341
2013,กุ้งขาวแวนนาไม,83,ภูเก็ต,2658,2466
2013,กุ้งขาวแวนนาไม,81,กระบี่,12130,2102
2013,กุ้งขาวแวนนาไม,92,ตรัง  ,16724,2288
2013,กุ้งขาวแวนนาไม,80,นครศรีธรรมราช,17670,1184
2013,กุ้งขาวแวนนาไม,93,พัทลุง,962,2000
2013,กุ้งขาวแวนนาไม,90,สงขลา,12712,1676
2013,กุ้งขาวแวนนาไม,91,สตูล,16515,2358
2013,กุ้งขาวแวนนาไม,94,ปัตตานี,1891,1580
2013,กุ้งขาวแวนนาไม,96,นราธิวาส,242,2017
2013,กุ้งกุลาดำ,24,ฉะเชิงเทรา,329,884
2013,กุ้งกุลาดำ,22,จันทบุรี  ,351,1057
2013,กุ้งกุลาดำ,23,ตราด   ,90,703
2013,กุ้งกุลาดำ,21,ระยอง,60,1333
2013,กุ้งกุลาดำ,77,ประจวบคีรีขันธ์,50,694
2013,กุ้งกุลาดำ,86,ชุมพร,838,960
2013,กุ้งกุลาดำ,85,ระนอง,293,1131
2013,กุ้งกุลาดำ,84,สุราษฎร์ธานี,607,738
2013,กุ้งกุลาดำ,82,พังงา,614,1125
2013,กุ้งกุลาดำ,83,ภูเก็ต,215,1378
2013,กุ้งกุลาดำ,81,กระบี่,3392,954
2013,กุ้งกุลาดำ,92,ตรัง,1726,1422
2013,กุ้งกุลาดำ,80,นครศรีธรรมราช,1136,1322
2013,กุ้งกุลาดำ,90,สงขลา,900,864
2013,กุ้งกุลาดำ,91,สตูล,666,1340
2013,กุ้งกุลาดำ,94,ปัตตานี,149,1221
2014,กุ้งขาวแวนนาไม,25,ปราจีนบุรี,4408,931
2014,กุ้งขาวแวนนาไม,24,ฉะเชิงเทรา,18409,1023
2014,กุ้งขาวแวนนาไม,22,จันทบุรี  ,34455,1738
2014,กุ้งขาวแวนนาไม,23,ตราด   ,21400,2310
2014,กุ้งขาวแวนนาไม,21,ระยอง,9894,1519
2014,กุ้งขาวแวนนาไม,20,ชลบุรี,1321,627
2014,กุ้งขาวแวนนาไม,11,สมุทรปราการ,3348,584
2014,กุ้งขาวแวนนาไม,74,สมุทรสาคร,10440,1049
2014,กุ้งขาวแวนนาไม,75,สมุทรสงคราม,1296,1190
2014,กุ้งขาวแวนนาไม,76,เพชรบุรี,6584,1327
2014,กุ้งขาวแวนนาไม,77,ประจวบคีรีขันธ์,13069,1938
2014,กุ้งขาวแวนนาไม,86,ชุมพร,8253,1724
2014,กุ้งขาวแวนนาไม,85,ระนอง,8252,2386
2014,กุ้งขาวแวนนาไม,84,สุราษฎร์ธานี,18202,1588
2014,กุ้งขาวแวนนาไม,82,พังงา,7728,1855
2014,กุ้งขาวแวนนาไม,83,ภูเก็ต,1829,2039
2014,กุ้งขาวแวนนาไม,81,กระบี่,6198,1677
2014,กุ้งขาวแวนนาไม,92,ตรัง,8368,1796
2014,กุ้งขาวแวนนาไม,80,นครศรีธรรมราช,13299,1118
